"Svalbard","Svalbard","77.8750","20.9752","Norway","NO","NOR","","","2642",""
"Troll","Troll","-72.0114","2.5350","NO","NOR","","","40",""
"Koedijk","Koedijk","52.6734","4.7552","NL","NLD","","","",""
"Harwell","Harwell","51.6013","-1.2889","GB","GBR","","","2349",""
